,year_month,year,month_num,month,no_of_rainy_days,maximum_rainfall_in_a_day,total_rainfall,mean_rh,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,max_temperature,temp_extremes_min,temp_mean_daily_max,temp_mean_daily_min
120,1992-01,1992,1,Jan,9,56.2,83.9,82.4,55,6.6,26.6,31.8,22.1,30.7,23.8
121,1992-02,1992,2,Feb,4,43.2,62.4,80.5,49,7.7,27.5,33.1,22.3,32.1,24.3
122,1992-03,1992,3,Mar,6,35.1,67.6,80.6,54,7.4,28.2,34.7,22.9,33.0,25.0
123,1992-04,1992,4,Apr,13,94.7,160.3,82.4,44,6.4,28.4,34.6,22.5,32.9,25.1
124,1992-05,1992,5,May,13,13.7,63.1,83.3,53,5.7,28.1,34.1,23.5,32.5,25.1
125,1992-06,1992,6,Jun,14,38.4,162.8,82.7,52,5.5,28.0,33.6,21.1,32.0,24.9
126,1992-07,1992,7,Jul,19,97.3,290.8,83.8,55,4.7,27.3,33.5,22.1,30.9,24.2
127,1992-08,1992,8,Aug,11,31.0,76.1,81.1,46,5.7,27.8,33.6,21.7,31.4,24.3
128,1992-09,1992,9,Sep,13,17.5,83.6,82.9,45,5.0,27.3,34.0,22.9,31.5,24.5
129,1992-10,1992,10,Oct,20,45.5,233.2,82.0,48,4.5,27.4,32.9,22.9,31.4,24.3
130,1992-11,1992,11,Nov,18,120.6,474.3,87.7,59,3.7,26.1,32.0,22.5,30.0,23.7
131,1992-12,1992,12,Dec,23,105.7,502.7,90.3,60,3.4,25.5,31.4,22.2,29.2,23.4
132,1993-01,1993,1,Jan,11,37.2,176.4,85.7,58,5.5,26.2,31.6,21.9,29.9,23.8
133,1993-02,1993,2,Feb,8,27.0,69.2,80.5,50,8.5,26.7,32.7,22.7,31.4,23.8
134,1993-03,1993,3,Mar,14,56.9,250.5,86.3,56,5.4,26.7,32.2,22.3,30.7,24.0
135,1993-04,1993,4,Apr,20,56.7,283.9,84.5,51,6.4,27.6,33.5,21.7,31.9,24.4
136,1993-05,1993,5,May,10,37.2,129.9,82.9,46,6.0,28.2,34.2,22.5,31.9,25.4
137,1993-06,1993,6,Jun,17,29.4,115.5,80.9,50,6.2,28.5,33.3,22.7,31.9,25.4
138,1993-07,1993,7,Jul,15,46.4,240.0,83.2,52,5.2,27.9,32.8,22.5,31.1,25.2
139,1993-08,1993,8,Aug,11,53.5,106.8,79.4,51,7.4,28.6,33.9,22.0,32.1,25.4
140,1993-09,1993,9,Sep,7,42.0,61.7,81.4,45,5.9,27.9,33.2,22.7,31.7,24.9
141,1993-10,1993,10,Oct,13,62.7,175.5,84.3,51,5.2,27.5,33.2,22.5,31.6,24.7
142,1993-11,1993,11,Nov,18,61.3,250.8,87.4,57,4.7,26.9,32.5,22.7,30.9,24.2
