year,month_num,month,rainy_days,highest_daily_rainfall,total_rainfall,mean_relative_humidity,mean_sunshine_hours,mean_temp,temp_mean_daily_max,temp_mean_daily_min
1997,1,Jan,3,13.9,15.4,77.3,7.7,27.1,31.5,24.0
1997,2,Feb,8,35.7,105.4,80.8,4.9,27.4,31.9,24.5
1997,3,Mar,10,17.4,34.3,79.6,7.0,28.1,32.8,24.9
1997,4,Apr,12,44.6,118.4,82.7,5.6,28.1,32.5,25.0
1997,5,May,6,35.6,41.6,77.7,6.7,29.3,33.6,26.3
1997,6,Jun,12,25.0,78.9,76.7,7.3,29.3,33.2,26.0
1997,7,Jul,9,5.4,18.6,76.5,6.5,28.8,32.4,26.0
1997,8,Aug,9,61.4,86.6,78.2,5.7,28.8,32.6,25.9
1997,9,Sep,3,24.3,31.1,77.0,3.2,28.8,32.2,26.3
1997,10,Oct,8,36.5,78.4,81.0,3.2,28.2,32.4,25.1
1997,11,Nov,13,53.6,158.3,82.8,5.4,27.8,32.0,24.8
1997,12,Dec,23,65.8,351.9,85.3,5.3,27.3,31.3,24.6
1998,1,Jan,13,79.7,268.8,83.2,7.4,28.0,31.8,25.3
1998,2,Feb,5,11.9,32.5,78.3,8.9,28.9,33.1,25.9
1998,3,Mar,7,20.9,58.8,77.8,7.6,29.5,34.1,26.3
1998,4,Apr,13,64.9,187.7,81.8,6.7,29.2,33.1,26.3
1998,5,May,18,83.7,370.8,82.3,5.9,29.4,33.1,26.3
1998,6,Jun,15,42.8,198.8,82.1,5.3,28.6,32.4,25.4
1998,7,Jul,18,55.8,259.2,81.8,5.1,28.1,31.5,24.9
1998,8,Aug,18,35.5,195.0,85.4,4.6,27.5,30.9,24.7
1998,9,Sep,17,52.0,258.2,84.1,4.5,27.9,31.1,24.9
1998,10,Oct,20,32.4,222.7,82.3,5.0,28.0,31.9,24.6
1998,11,Nov,11,57.5,107.2,81.9,4.6,27.9,31.7,24.9
1998,12,Dec,22,84.4,463.4,88.5,3.1,26.6,30.4,24.2
1999,1,Jan,19,52.5,193.9,88.3,3.9,26.6,30.4,24.3
1999,2,Feb,9,32.1,67.4,82.4,6.7,27.2,31.3,24.5
1999,3,Mar,16,52.4,181.4,87.5,4.3,27.1,31.5,24.4
1999,4,Apr,14,29.2,88.5,82.6,5.8,28.3,32.5,25.4
1999,5,May,13,42.8,157.1,84.4,5.7,28.0,31.7,25.3
1999,6,Jun,13,34.5,103.4,81.9,6.0,28.2,31.8,25.3
1999,7,Jul,11,51.4,225.4,82.7,6.8,27.8,31.2,24.7
1999,8,Aug,13,42.4,204.0,84.1,5.7,27.5,31.0,24.5
1999,9,Sep,13,41.5,125.9,81.7,6.5,27.9,31.9,24.9
1999,10,Oct,20,32.8,205.0,84.6,4.7,27.2,31.1,24.3
1999,11,Nov,19,39.0,241.5,84.4,4.7,27.3,31.3,24.5
1999,12,Dec,17,76.9,340.5,85.3,4.1,26.8,30.6,24.1
2000,1,Jan,14,127.6,275.2,86.9,4.0,26.3,29.8,23.9
2000,2,Feb,18,39.9,237.8,86.5,5.8,26.6,31.0,23.8
2000,3,Mar,15,37.9,238.3,85.8,5.8,27.2,31.9,24.3
2000,4,Apr,20,87.4,311.6,85.6,5.3,27.5,31.9,24.6
2000,5,May,10,36.7,96.8,82.4,6.8,28.6,32.7,25.7
2000,6,Jun,16,41.7,157.5,84.3,4.6,27.6,31.1,24.7
2000,7,Jul,12,34.6,116.1,82.6,6.5,28.1,31.6,25.3
2000,8,Aug,18,28.1,113.5,83.8,5.1,27.5,30.7,24.8
2000,9,Sep,12,25.7,81.1,82.2,6.2,28.0,32.1,25.2
2000,10,Oct,14,38.3,120.9,82.1,4.0,27.8,31.8,24.9
2000,11,Nov,21,72.0,385.7,87.1,3.7,27.3,31.3,24.7
2000,12,Dec,18,45.8,236.0,87.6,4.2,27.0,31.0,24.4
2001,1,Jan,21,125.4,425.8,87.4,4.4,26.5,30.3,24.0
2001,2,Feb,11,28.2,86.6,83.6,4.8,27.0,30.9,24.5
2001,3,Mar,20,41.1,297.3,84.5,5.4,27.5,31.8,24.2
2001,4,Apr,18,68.9,203.3,86.0,5.3,27.7,31.8,25.1
2001,5,May,12,56.1,164.9,85.0,6.0,28.5,32.2,25.7
2001,6,Jun,11,49.6,137.1,82.5,4.9,28.2,31.4,25.4
2001,7,Jul,9,44.8,111.3,80.8,8.1,28.4,32.2,25.5
2001,8,Aug,14,36.6,158.3,83.7,4.9,28.0,31.1,25.2
2001,9,Sep,13,74.3,162.0,82.3,6.2,28.0,31.6,25.2
2001,10,Oct,20,77.2,252.2,83.7,4.4,27.6,31.4,24.7
2001,11,Nov,15,102.6,175.3,84.9,3.7,27.2,30.8,24.7
2001,12,Dec,20,211.1,609.0,86.8,4.5,26.7,30.7,24.1
2002,1,Jan,11,83.8,221.2,83.6,6.9,27.0,30.9,24.5
2002,2,Feb,2,41.7,50.8,80.9,7.4,27.3,31.3,24.5
2002,3,Mar,8,26.4,55.6,80.8,7.6,28.2,33.0,25.1
2002,4,Apr,13,39.4,116.5,82.3,6.6,28.6,33.0,25.6
2002,5,May,13,75.9,236.6,82.3,6.2,28.9,32.6,26.1
2002,6,Jun,12,45.8,83.1,82.1,6.3,28.7,32.1,26.0
2002,7,Jul,11,69.5,233.7,82.7,6.8,28.4,31.9,25.5
2002,8,Aug,14,17.8,54.2,79.2,6.7,28.5,31.9,25.6
2002,9,Sep,9,38.9,124.2,81.7,5.5,28.1,31.7,25.1
2002,10,Oct,7,3.2,10.8,79.8,6.2,28.7,33.0,25.7
2002,11,Nov,15,84.0,307.2,85.8,4.6,27.4,31.7,24.5
2002,12,Dec,24,38.6,255.0,88.7,4.8,27.2,31.3,24.7
2003,1,Jan,20,194.4,444.2,86.9,4.7,26.7,30.1,24.4
2003,2,Feb,13,82.2,172.9,85.0,5.8,27.1,30.8,24.4
2003,3,Mar,11,38.3,154.6,83.8,6.9,28.1,32.3,25.2
2003,4,Apr,20,42.9,159.9,86.7,5.1,27.9,32.1,25.3
2003,5,May,11,33.0,81.8,81.7,5.8,29.2,32.7,26.5
2003,6,Jun,12,23.2,50.3,78.5,7.0,28.9,32.7,26.0
2003,7,Jul,14,30.9,170.4,81.7,5.6,28.1,31.5,25.1
2003,8,Aug,13,64.4,193.6,83.1,6.1,28.2,31.8,25.5
2003,9,Sep,15,60.0,205.3,84.8,5.0,27.6,31.2,24.8
2003,10,Oct,21,56.6,351.4,84.9,5.1,27.6,31.1,24.5
2003,11,Nov,19,41.3,133.8,87.3,4.2,27.1,31.0,24.7
2003,12,Dec,17,92.1,273.0,87.2,3.9,26.5,29.9,24.3
2004,1,Jan,13,177.8,600.9,86.7,6.7,26.9,30.6,24.2
2004,2,Feb,4,19.2,31.9,80.5,7.7,27.6,32.0,24.7
2004,3,Mar,16,122.8,269.4,85.8,4.8,27.7,32.2,24.7
2004,4,Apr,9,18.1,57.1,82.3,7.0,28.9,33.3,26.1
2004,5,May,13,73.4,137.6,82.1,6.0,28.9,32.8,26.4
2004,6,Jun,8,68.1,127.2,79.8,6.3,29.0,32.4,26.1
2004,7,Jul,20,34.3,166.6,85.3,4.2,27.3,30.8,24.5
2004,8,Aug,8,111.5,185.2,80.3,7.3,28.3,31.7,25.4
2004,9,Sep,14,29.1,128.9,83.6,5.9,27.8,31.7,25.0
2004,10,Oct,13,25.3,125.6,83.9,5.0,27.8,31.6,25.0
2004,11,Nov,15,62.4,166.2,86.1,5.8,27.3,31.4,24.6
2004,12,Dec,14,36.4,139.8,85.2,4.9,26.8,30.1,24.5
2005,1,Jan,8,96.7,163.2,83.3,6.5,26.6,30.2,23.9
2005,2,Feb,3,7.2,8.4,77.7,9.1,28.5,33.4,25.3
